model,mpg_dec,mpg_eff,mpg_after100m,cylinders,horsepower,acceleration
amc concord,19.4,19.97652073272979,14.089400043761392,6,90,17.2
amc concord d/l,18.1,18.121078825717426,15.536941208094431,6,120,15.1
amc concord dl 6,20.2,21.111524344331478,18.36425620890359,6,90,18.2
amc gremlin,21,20.902531301593065,17.36921084459996,6,90,15
amc hornet,18,16.978514459168697,14.026746400025958,6,97,15.5
amc hornet sportabout (sw),18,18.138766542074837,15.091488209136823,6,110,13.5
amc matador,18,19.16180826593611,16.31233379880039,6,100,15.5
amc pacer,19,19.12840661118003,16.75803738463855,6,90,17
amc pacer d/l,17.5,17.717878519158592,14.229758239052257,6,95,17.8
amc spirit dl,27.4,27.09208776084935,23.852182240878598,4,80,15
audi 100 ls,24,23.838730686628725,21.169814529004245,4,90,14.5
audi 100ls,20,19.911469898503235,16.099371208438704,4,91,14
audi 4000,34.3,33.899627283158146,29.82894583070472,4,78,15.8
audi fox,29,28.587504453259232,26.26812780556931,4,83,16.5
bmw 2002,26,25.88589701258365,21.99451449614926,4,113,12.5
bmw 320i,21.5,21.672100372307003,17.595132545193774,4,110,12.8
buick century,17,17.26407813511769,15.967438741498697,6,110,21
buick century limited,25,24.371047145709323,21.524431141842815,6,110,16.4
buick century special,20.6,20.640243549881017,16.055515246175165,6,105,15.8
buick opel isuzu deluxe,30,29.414620000097184,27.38787736983544,4,80,14.8
buick regal sport coupe (turbo),17.7,17.78415121978667,14.435928231447619,6,165,13.4
buick skyhawk,21,21.743246051153484,20.058913207653887,6,110,15
buick skylark,20.5,21.385554395307608,17.381582679123404,6,105,16.9
buick skylark limited,28.4,28.392291289852576,26.73706293487298,4,90,16
capri ii,25,25.83382675838489,22.752035258642266,4,92,14.9
chevroelt chevelle malibu,16,15.500540245644038,14.546670631641286,6,105,18.5
chevrolet camaro,27,27.45859426745872,24.84340636411867,4,90,17.3
chevrolet cavalier,28,27.94688015068832,23.627098142981282,4,88,19.6
chevrolet cavalier 2-door,34,33.81640348395365,31.007853488341542,4,88,18
chevrolet cavalier wagon,27,27.66789928406309,24.229129205349086,4,88,18.6
chevrolet chevelle malibu,17,17.023584329636385,13.801970405977052,6,100,15.5
chevrolet chevelle malibu classic,16,16.393409215926503,15.532003554967565,6,100,17
chevrolet chevette,29,29.562834109142774,28.03354956468458,4,52,22.2
chevrolet citation,28.8,27.784790828180814,24.105032369969745,6,115,11.3
chevrolet concours,17.5,17.55699735359582,14.597900409786844,6,110,16.4
chevrolet malibu,20.5,20.553270752796482,17.282292736540228,6,95,18.2
chevrolet nova,15,15.110193010226991,11.313634991793789,6,100,17
chevrolet nova custom,16,16.504149333513055,11.585761912567873,6,100,18
chevrolet vega,20,20.043409606425705,16.305378060013673,4,90,19.5
chevrolet vega (sw),22,22.200373846454113,21.01602949890771,4,72,19
chevrolet vega 2300,28,28.22958638262127,25.836094770187078,4,90,15.5
chevrolet woody,24.5,23.927163066459215,22.24475984500593,4,60,22.1
chevy s-10,31,31.061203915380556,27.913124834617623,4,82,19.4
chrysler lebaron medallion,26,25.776970434679033,22.785524471049225,4,92,14.5
chrysler lebaron salon,17.6,18.08882068738096,14.650614888530486,6,85,16.6
datsun 1200,35,35.551892662021615,32.5686992356103,4,69,18
datsun 200-sx,23.9,23.486911617917766,21.4042655311742,4,97,14.9
datsun 200sx,32.9,32.525749621624605,31.24045661202164,4,100,14.8
datsun 210,31.8,32.37812937014023,27.845007008879605,4,65,19.2
datsun 210 mpg,37,37.009882931836145,32.186722669418536,4,65,19.4
datsun 280-zx,32.7,32.240243506942356,28.879908276554794,6,132,11.4
datsun 310,37.2,36.546588312792174,33.94196644355876,4,65,16.4
datsun 310 gx,38,38.00762663094481,34.66053010337721,4,67,16.2
datsun 510,27.2,26.76030563978051,24.05229758944457,4,97,14.7
datsun 510 (sw),28,27.8582892535199,24.014961100601376,4,92,17
datsun 510 hatchback,37,37.28232652561078,35.44668100547589,4,92,15
datsun 610,22,22.81312491323624,19.56126324527984,4,94,16.5
datsun 710,32,32.23636198467659,29.292963341649987,4,61,19
datsun 810,22,20.992961741524002,18.588067700757996,6,97,14.5
datsun 810 maxima,24.2,23.694230056059833,21.463017361490092,6,120,13.8
datsun b-210,32,32.75963101317798,29.77533320365068,4,70,17
datsun b210,31,31.33470803895694,28.697895971972933,4,67,19
datsun b210 gx,39.4,39.14401891715588,37.028781034061,4,70,18.6
